attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,zip_code,R_cat
"{'Good For Groups': True, 'Noise Level': 'very_loud', 'Music': {'video': False, 'jukebox': False, 'live': True, 'dj': False}, 'Accepts Credit Cards': True, 'Price Range': 2, 'Coat Check': False, 'Outdoor Seating': False, 'Alcohol': 'full_bar', 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Smoking': 'outdoor', 'Has TV': False, 'Wheelchair Accessible': True, 'Ambience': {'casual': False, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': True, 'trendy': False, 'classy': False, 'upscale': False}, 'Good For Dancing': True, 'Good for Kids': False, 'Happy Hour': False}",FGePlnlKXHxBrxYMNGtdAw,"['Arts & Entertainment', 'Nightlife', 'Music Venues']",Tempe,"730 N Mill Ave
Tempe, AZ 85281","{'Wednesday': {'open': '12:00', 'close': '18:00'}, 'Tuesday': {'open': '12:00', 'close': '18:00'}, 'Thursday': {'open': '12:00', 'close': '18:00'}, 'Friday': {'open': '12:00', 'close': '18:00'}, 'Monday': {'open': '12:00', 'close': '18:00'}}",33.4368906,-111.94373,Marquee Theatre,[],True,217,3.0,AZ,business,85281,3
{'Good for Kids': True},0UZ31UTcOLRKuqPqPe-VBA,"['Arts & Entertainment', 'Stadiums & Arenas']",Phoenix,"401 E Jefferson
Phoenix, AZ 85004",{},33.444799,-112.066662,Chase Field,[],True,351,4.0,AZ,business,85004,3
"{'Accepts Credit Cards': True, 'Price Range': 1, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Wheelchair Accessible': True, 'Open 24 Hours': False}",Nj6ITW0Zhl7LpovGIH6SAg,"['Fashion', 'Shopping', 'Shoe Stores', 'Outlet Stores']",Phoenix,"1919 E Camelback Rd
Ste 1
Phoenix, AZ 85016","{'Wednesday': {'open': '10:00', 'close': '21:00'}, 'Monday': {'open': '10:00', 'close': '21:00'}, 'Friday': {'open': '10:00', 'close': '21:00'}, 'Thursday': {'open': '10:00', 'close': '21:00'}, 'Tuesday': {'open': '10:00', 'close': '21:00'}, 'Saturday': {'open': '10:00', 'close': '20:00'}, 'Sunday': {'open': '11:00', 'close': '19:00'}}",33.5090018,-112.0409994,Last Chance Bargain Shoes & Apparel,[],True,314,3.5,AZ,business,85016,3
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Parking': {'garage': True, 'street': False, 'validated': False, 'valet': False, 'lot': False}, 'Wheelchair Accessible': True}",Hdi7jkB7pHiM1nyPHcqSdw,"['Shopping Centers', 'Shopping']",Scottsdale,"7014 E Camelback Rd
Scottsdale, AZ 85251","{'Wednesday': {'open': '10:00', 'close': '21:00'}, 'Monday': {'open': '10:00', 'close': '21:00'}, 'Friday': {'open': '10:00', 'close': '21:00'}, 'Thursday': {'open': '10:00', 'close': '21:00'}, 'Tuesday': {'open': '10:00', 'close': '21:00'}, 'Saturday': {'open': '10:00', 'close': '21:00'}, 'Sunday': {'open': '11:00', 'close': '18:00'}}",33.5025941,-111.9296765,Scottsdale Fashion Square,[],True,316,4.0,AZ,business,85251,3
{'Good for Kids': True},6rijZ1qIjiq1Dgdy35iqxw,"['Active Life', 'Climbing', 'Hiking', 'Parks']",Phoenix,"5701 N Echo Canyon Pkwy
Phoenix, AZ 85018",{},33.5219518275351,-111.97437286377,Camelback Mountain,[],True,333,4.5,AZ,business,85018,3
"{'Attire': 'casual', 'Take-out': True, 'Takes Reservations': False, 'Accepts Credit Cards': True, 'Price Range': 1, 'Waiter Service': False, 'Wi-Fi': 'free', 'Good For Groups': True, 'Outdoor Seating': True, 'Order at Counter': True, 'Parking': {'garage': False, 'street': True, 'validated': False, 'valet': False, 'lot': False}, 'Wheelchair Accessible': True}",jCUOqEK8Lln0PK3GeUl6IQ,"['Food', 'Coffee & Tea']",Phoenix,"4220 N 7th Ave
Phoenix, AZ 85013","{'Wednesday': {'open': '06:00', 'close': '21:00'}, 'Monday': {'open': '06:00', 'close': '21:00'}, 'Friday': {'open': '06:00', 'close': '23:00'}, 'Thursday': {'open': '06:00', 'close': '21:00'}, 'Tuesday': {'open': '06:00', 'close': '21:00'}, 'Saturday': {'open': '06:00', 'close': '23:00'}, 'Sunday': {'open': '06:00', 'close': '21:00'}}",33.4974525,-112.083878,Copper Star Coffee,[],True,316,4.0,AZ,business,85013,3
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Wheelchair Accessible': True}",WUZxVr_CaRqEQgzvyeK5tw,"['Shopping', 'Home Decor', 'Home & Garden', 'Furniture Stores']",Tempe,"2110 W Ikea Way
Tempe, AZ 85281","{'Wednesday': {'open': '10:00', 'close': '21:00'}, 'Monday': {'open': '10:00', 'close': '21:00'}, 'Friday': {'open': '10:00', 'close': '21:00'}, 'Thursday': {'open': '10:00', 'close': '21:00'}, 'Tuesday': {'open': '10:00', 'close': '21:00'}, 'Saturday': {'open': '10:00', 'close': '21:00'}, 'Sunday': {'open': '10:00', 'close': '19:00'}}",33.3386866003275,-111.969744041562,IKEA,[],True,303,3.5,AZ,business,85281,3
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Wheelchair Accessible': True}",GwSdGrvaXi4BdXNSWKn-EA,"['Books, Mags, Music & Video', 'Shopping', 'Bookstores']",Tempe,"6428 S McClintock Dr
Tempe, AZ 85283","{'Wednesday': {'open': '10:00', 'close': '21:00'}, 'Monday': {'open': '10:00', 'close': '21:00'}, 'Friday': {'open': '10:00', 'close': '21:00'}, 'Thursday': {'open': '10:00', 'close': '21:00'}, 'Tuesday': {'open': '10:00', 'close': '21:00'}, 'Saturday': {'open': '09:00', 'close': '21:00'}, 'Sunday': {'open': '10:00', 'close': '18:00'}}",33.3624563,-111.9126663,Changing Hands Bookstore,[],True,200,4.5,AZ,business,85283,3
"{'Accepts Credit Cards': True, 'Accepts Insurance': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'By Appointment Only': False, 'Price Range': 2, 'Wi-Fi': 'free'}",8ZwO9VuLDWJOXmtAdc7LXQ,"['Day Spas', 'Hotels & Travel', 'Beauty & Spas', 'Event Planning & Services', 'Hotels']",Phoenix,"401 W Clarendon Ave
Phoenix, AZ 85013","{'Wednesday': {'open': '00:00', 'close': '00:00'}, 'Monday': {'open': '00:00', 'close': '00:00'}, 'Friday': {'open': '00:00', 'close': '00:00'}, 'Thursday': {'open': '00:00', 'close': '00:00'}, 'Tuesday': {'open': '00:00', 'close': '00:00'}, 'Saturday': {'open': '00:00', 'close': '00:00'}, 'Sunday': {'open': '00:00', 'close': '00:00'}}",33.491112,-112.0791977,The Clarendon Hotel,[],True,322,3.5,AZ,business,85013,3
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid', 'Dogs Allowed': True}",9mfec4ySQpW8doGs3FUP2Q,"['Hotels & Travel', 'Resorts', 'Event Planning & Services', 'Hotels']",Scottsdale,"7575 East Princess Drive
Scottsdale, AZ 85255",{},33.6455682097528,-111.917118430138,Fairmont Scottsdale Princess,[],True,208,4.0,AZ,business,85255,3
"{'Good For Groups': True, 'Noise Level': 'loud', 'Music': {'video': False, 'jukebox': False, 'live': True, 'dj': True}, 'By Appointment Only': False, 'Price Range': 1, 'Coat Check': False, 'Outdoor Seating': True, 'Alcohol': 'beer_and_wine', 'Accepts Credit Cards': True, 'Parking': {'garage': False, 'street': True, 'validated': False, 'valet': False, 'lot': False}, 'Smoking': 'outdoor', 'Has TV': False, 'Wheelchair Accessible': True, 'Ambience': {'casual': False, 'touristy': False, 'hipster': True, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Good For Dancing': True, 'Good for Kids': False, 'Happy Hour': True}",pQ3kRVmttsV1bHxuTf7TAg,"['Bars', 'Shopping', 'Music Venues', 'Art Galleries', 'Arts & Entertainment', 'Nightlife']",Phoenix,"914 N 5th St
Phoenix, AZ 85004","{'Wednesday': {'open': '17:00', 'close': '02:00'}, 'Monday': {'open': '17:00', 'close': '02:00'}, 'Friday': {'open': '17:00', 'close': '02:00'}, 'Thursday': {'open': '17:00', 'close': '02:00'}, 'Tuesday': {'open': '17:00', 'close': '02:00'}, 'Saturday': {'open': '12:00', 'close': '02:00'}, 'Sunday': {'open': '12:00', 'close': '02:00'}}",33.4581958,-112.0676886,The Lost Leaf,[],True,279,4.0,AZ,business,85004,3
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid', 'Dogs Allowed': True}",6Kon3cR5ZEm5rmYKlpcfcw,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6850 E Main St
Scottsdale, AZ 85251","{'Wednesday': {'open': '00:00', 'close': '23:30'}, 'Monday': {'open': '00:00', 'close': '23:30'}, 'Friday': {'open': '00:00', 'close': '23:30'}, 'Thursday': {'open': '00:00', 'close': '23:30'}, 'Tuesday': {'open': '00:00', 'close': '23:30'}, 'Saturday': {'open': '00:00', 'close': '23:30'}, 'Sunday': {'open': '00:00', 'close': '23:30'}}",33.4930514,-111.9339561,Hotel Valley Ho,[],True,321,4.0,AZ,business,85251,3
"{'Attire': 'casual', 'Take-out': False, 'Noise Level': 'average', 'Accepts Credit Cards': True, 'Price Range': 2, 'Waiter Service': True, 'Wi-Fi': 'no', 'Good For Groups': True, 'Outdoor Seating': False, 'Alcohol': 'full_bar', 'Parking': {'garage': True, 'street': False, 'validated': False, 'valet': False, 'lot': False}, 'Has TV': True, 'Takes Reservations': True, 'Good For': {'lunch': False, 'breakfast': False, 'latenight': False, 'dessert': False, 'dinner': True, 'brunch': False}, 'Ambience': {'casual': True, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Delivery': False, 'Caters': False, 'Good for Kids': True}",EmlgWjs1ZzZEpDjZCSPLmw,"['Arts & Entertainment', 'Cinema']",Phoenix,"2515 E Camelback Rd
Phoenix, AZ 85016",{},33.5090903,-112.0263625,AMC Dine-in Theatres Esplanade 14,[],True,371,3.5,AZ,business,85016,3
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Delivery': False, 'Wheelchair Accessible': True}",YkFBelUWinftlweJzuiIAw,"['Bakeries', 'Food', 'Desserts']",Phoenix,"4711 N 7th St
Phoenix, AZ 85014","{'Wednesday': {'open': '09:00', 'close': '18:00'}, 'Monday': {'open': '09:00', 'close': '18:00'}, 'Friday': {'open': '09:00', 'close': '18:00'}, 'Thursday': {'open': '09:00', 'close': '18:00'}, 'Tuesday': {'open': '09:00', 'close': '18:00'}, 'Saturday': {'open': '09:00', 'close': '17:00'}, 'Sunday': {'open': '10:00', 'close': '16:00'}}",33.5060469,-112.0646601,Urban Cookies,[],True,249,4.5,AZ,business,85014,3
{'Accepts Credit Cards': True},inDYSqSDMyrfBhOZc702rw,"['Professional Services', 'Television Service Providers', 'Home Services', 'Internet Service Providers']",Phoenix,"Phoenix, AZ 85027","{'Wednesday': {'open': '00:00', 'close': '00:00'}, 'Monday': {'open': '00:00', 'close': '00:00'}, 'Friday': {'open': '00:00', 'close': '00:00'}, 'Thursday': {'open': '00:00', 'close': '00:00'}, 'Tuesday': {'open': '00:00', 'close': '00:00'}, 'Saturday': {'open': '00:00', 'close': '00:00'}, 'Sunday': {'open': '00:00', 'close': '00:00'}}",33.6782379,-112.1012912,Cox Communications,[],True,294,1.5,AZ,business,85027,3
"{'Accepts Credit Cards': True, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Wheelchair Accessible': True, 'By Appointment Only': False, 'Price Range': 3, 'Wi-Fi': 'free'}",UKgSs_SJzW9fu4CwhIV1yA,"['Beauty & Spas', 'Venues & Event Spaces', 'Event Planning & Services', 'Hotels & Travel', 'Day Spas', 'Hotels']",Scottsdale,"4925 N Scottsdale Rd
Scottsdale, AZ 85251",{},33.5088053,-111.9252515,"Firesky Resort & Spa, a Kimpton Hotel",[],True,248,4.0,AZ,business,85251,3
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Wheelchair Accessible': True}",AqbgC7Gul5Es1rRzGNLDFA,"['Food', 'Desserts']",Scottsdale,"4501 N Scottsdale Rd
Scottsdale, AZ 85251","{'Wednesday': {'open': '09:00', 'close': '21:00'}, 'Monday': {'open': '09:00', 'close': '21:00'}, 'Friday': {'open': '09:00', 'close': '21:00'}, 'Thursday': {'open': '09:00', 'close': '21:00'}, 'Tuesday': {'open': '09:00', 'close': '21:00'}, 'Saturday': {'open': '09:00', 'close': '21:00'}, 'Sunday': {'open': '10:00', 'close': '20:00'}}",33.5024987,-111.9258947,Sprinkles Cupcakes,[],True,459,3.5,AZ,business,85251,3
"{'Attire': 'casual', 'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Waiter Service': True, 'Good For Groups': True, 'Alcohol': 'full_bar', 'Outdoor Seating': True, 'Takes Reservations': True, 'Has TV': True, 'Ambience': {'casual': True, 'touristy': False, 'hipster': False, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Caters': True, 'Good for Kids': True, 'Noise Level': 'loud', 'Take-out': True, 'Good For Dancing': False, 'Music': {'dj': False}, 'Price Range': 2, 'Wi-Fi': 'free', 'Dogs Allowed': True, 'Parking': {'garage': False, 'street': True, 'validated': False, 'valet': False, 'lot': False}, 'Smoking': 'outdoor', 'Happy Hour': True, 'Good For': {'lunch': False, 'breakfast': False, 'latenight': False, 'dessert': False, 'dinner': True, 'brunch': False}, 'Drive-Thru': False, 'Delivery': False, 'Coat Check': False}",Gq092IH6eZqhAXwtXcwc6A,"['Food', 'Pubs', 'Bars', 'Breweries', 'Nightlife']",Chandler,"8 S San Marcos Pl
Chandler, AZ 85225","{'Wednesday': {'open': '11:00', 'close': '00:00'}, 'Monday': {'open': '11:00', 'close': '00:00'}, 'Friday': {'open': '11:00', 'close': '02:00'}, 'Thursday': {'open': '11:00', 'close': '01:00'}, 'Tuesday': {'open': '11:00', 'close': '00:00'}, 'Saturday': {'open': '08:00', 'close': '02:00'}, 'Sunday': {'open': '10:00', 'close': '00:00'}}",33.3032341003418,-111.842529296875,SanTan Brewing Company,[],True,580,4.0,AZ,business,85225,3
"{'Wheelchair Accessible': True, 'Attire': 'casual', 'Take-out': True, 'Noise Level': 'loud', 'Accepts Credit Cards': True, 'Price Range': 1, 'Waiter Service': False, 'Wi-Fi': 'free', 'Good For Groups': True, 'Outdoor Seating': True, 'Dogs Allowed': False, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Has TV': False, 'Takes Reservations': False, 'Good For': {'lunch': False, 'breakfast': True, 'latenight': False, 'dessert': False, 'dinner': False, 'brunch': False}, 'Ambience': {'casual': False, 'touristy': False, 'hipster': True, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Alcohol': 'beer_and_wine', 'Delivery': False, 'Caters': True, 'Good for Kids': False}",lktu5JPDlQUG-7cV7gOzDQ,"['Food', 'Coffee & Tea']",Tempe,"225 W University Dr
Ste 101
Tempe, AZ 85281","{'Wednesday': {'open': '07:00', 'close': '22:00'}, 'Monday': {'open': '07:00', 'close': '22:00'}, 'Friday': {'open': '07:00', 'close': '22:00'}, 'Thursday': {'open': '07:00', 'close': '22:00'}, 'Tuesday': {'open': '07:00', 'close': '22:00'}, 'Saturday': {'open': '07:00', 'close': '22:00'}, 'Sunday': {'open': '07:00', 'close': '22:00'}}",33.4214126082706,-111.942980289459,Cartel Coffee Lab,[],True,433,4.0,AZ,business,85281,3
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'garage': False, 'street': False, 'validated': False, 'valet': False, 'lot': True}, 'Wi-Fi': 'free', 'Wheelchair Accessible': True}",Bc4DoKgrKCtCuN-0O5He3A,"['Food', 'Ice Cream & Frozen Yogurt']",Scottsdale,"9160 E Shea Blvd
Ste 105
Scottsdale, AZ 85260","{'Wednesday': {'open': '12:00', 'close': '22:00'}, 'Monday': {'open': '12:00', 'close': '22:00'}, 'Friday': {'open': '12:00', 'close': '23:00'}, 'Thursday': {'open': '12:00', 'close': '22:00'}, 'Tuesday': {'open': '12:00', 'close': '22:00'}, 'Saturday': {'open': '12:00', 'close': '23:00'}, 'Sunday': {'open': '12:00', 'close': '22:00'}}",33.5837032,-111.8837393,Sweet Republic,[],True,464,4.5,AZ,business,85260,3
"{'Accepts Credit Cards': True, 'Parking': {'garage': True, 'street': False, 'validated': False, 'valet': True, 'lot': False}, 'Wheelchair Accessible': True, 'By Appointment Only': True, 'Price Range': 3, 'Wi-Fi': 'paid', 'Dogs Allowed': True}",qt_GH5ZBn6xT0CtzNdrvyQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Paradise Valley,"4949 E Lincoln Dr
Paradise Valley, AZ 85253","{'Wednesday': {'open': '12:00', 'close': '00:00'}, 'Monday': {'open': '12:00', 'close': '00:00'}, 'Friday': {'open': '12:00', 'close': '00:00'}, 'Thursday': {'open': '12:00', 'close': '00:00'}, 'Tuesday': {'open': '12:00', 'close': '00:00'}, 'Saturday': {'open': '12:00', 'close': '00:00'}, 'Sunday': {'open': '12:00', 'close': '00:00'}}",33.5287694,-111.973172,Omni Montelucia Resort & Spa,[],False,212,4.0,AZ,business,85253,3
"{'Good For Groups': True, 'Noise Level': 'average', 'Music': {'video': False, 'jukebox': False, 'live': False, 'dj': True}, 'Happy Hour': True, 'Accepts Credit Cards': True, 'Price Range': 2, 'Coat Check': False, 'Outdoor Seating': False, 'Dogs Allowed': False, 'Parking': {'garage': False, 'street': True, 'validated': False, 'valet': False, 'lot': True}, 'Smoking': 'outdoor', 'Has TV': True, 'Wheelchair Accessible': False, 'Ambience': {'casual': False, 'touristy': False, 'hipster': True, 'intimate': False, 'romantic': False, 'divey': False, 'trendy': False, 'classy': False, 'upscale': False}, 'Alcohol': 'full_bar', 'Good For Dancing': False}",9OPheVf5o8sRcRHxJDl4-A,"['Bars', 'Nightlife', 'Lounges']",Phoenix,"1514 N 7th Ave
2nd Fl
Phoenix, AZ 85007","{'Wednesday': {'open': '16:00', 'close': '02:00'}, 'Monday': {'open': '16:00', 'close': '02:00'}, 'Friday': {'open': '15:00', 'close': '02:00'}, 'Thursday': {'open': '16:00', 'close': '02:00'}, 'Tuesday': {'open': '16:00', 'close': '02:00'}, 'Saturday': {'open': '15:00', 'close': '02:00'}, 'Sunday': {'open': '15:00', 'close': '02:00'}}",33.4653447,-112.0828543,SideBar,[],True,297,4.0,AZ,business,85007,3
