,biz_id,lat,lon,marker,dec_score,num,score
238,VYCbveCk-j4UR_aSTuASJA,36.2067752,-115.2684309,dot3,yellow,1,129.5
241,1dk07edqr5_7goS6AnXAjw,36.1978251,-115.2805472,dot3,yellow,1,284
242,tGx7BSyqWDeppMvt2aQw_A,36.1907268,-115.2600699,dot3,yellow,1,241.5
243,ZBVXf0uC7k8iKDYCIMa2tQ,36.2004665,-115.2818774,dot3,yellow,1,297.5
247,HNmyXUXKSr3JI2yXuU7EMQ,36.2006899,-115.281657,dot3,yellow,1,98
260,C_7XW_kw9JtFkE8dzI7BiQ,36.19697189,-115.2561493,dot3,yellow,1,112
270,P1BK2ke-N4XLsBSNWpSeLQ,36.2433513,-115.2358857,dot3,yellow,1,112
275,3BBqVbU_Z-kCcUfV3xIUYQ,36.2151739,-115.2123105,dot3,yellow,1,99
291,LTHq7A5vVAwtqqu5i2ZLUQ,36.2102322,-115.2794155,dot3,yellow,1,136.5
293,ivi5jHjmf2uV8faGJ9Rfig,36.19307129,-115.3042924,dot3,yellow,1,210
296,KLRHYLnVch4x2bJXK9hmAQ,36.1588987,-115.0492967,dot3,yellow,1,94.5
306,rExmZxKkcO0VfOVMo-w66g,36.1286223,-115.2247746,dot3,yellow,1,132
316,YTbSJITWKp_QgfY2vrXvSQ,36.126625,-115.225945,dot3,yellow,1,108
318,jOMTNCPSiUIdToLtc5y4Fw,36.151297,-115.242763,dot3,yellow,1,132
326,S4nbHSW29N0rcXkIlA-wbQ,36.143552,-115.233012,dot3,yellow,1,99
327,ZqJQSSmHtoAx0O_SGz3piQ,36.1593466,-115.2222504,dot3,yellow,1,140
328,G2AqHSVc8t6I21qiHeq7jA,36.158414,-115.218416,dot3,yellow,1,178.5
331,tJhh6NDsNIwWMpxlP-0F7g,36.142636,-115.2217,dot3,yellow,1,193.5
333,5geSNRVBlvhoJlRK1zAS0g,36.1265084,-115.2182851,dot3,yellow,1,164.5
339,uEZWVN-ehk_XyDh0Dujh0w,36.1586671,-115.2091863,dot3,yellow,1,168
340,uybZVwl43IwaKAeRqkb3Zg,36.1593157,-115.2248585,dot3,yellow,1,156
341,3YLo7L0_1_Hy9SIuDrDceg,36.1588203,-115.2125772,dot3,yellow,1,115.5
342,4sTUCAAzenGzgG2w7ry1zQ,36.1594218,-115.2250915,dot3,yellow,1,189
347,X4G7Zr-7fOr1bBP4iiONuw,36.0834649,-115.296933,dot3,yellow,1,93
355,wAu9-jVLS-ygIPr4t8iCEA,36.1959165,-115.0603531,dot3,yellow,1,103.5
356,JBtHmLIXJprdHV2xMa0KKQ,36.1956384,-115.0404551,dot3,yellow,1,301.5
358,htsJHl2YcqwPfIbQkXrXrg,36.0224814,-115.0502202,dot3,yellow,1,122.5
370,wqOSESjr7ioLSAUOzzhqoQ,36.1627231,-115.1512318,dot3,yellow,1,206.5
377,CfdCsVkzzM3uJKGRzA0ufA,36.1707639,-115.1435262,dot3,yellow,1,218
378,kE7hkm4gn8dHvGFwqy6foQ,36.1707639,-115.1435262,dot3,yellow,1,133
379,QLuWutuU6jHOGZgUWBWQQg,36.16864538,-115.1236725,dot3,yellow,1,157.5
380,15JT2xhzP_R96mT6rK882A,36.17115,-115.145849,dot3,yellow,1,154
381,NI6HbJtkRSwzcaSxMaSSwg,36.172231,-115.1455,dot3,yellow,1,193.5
386,uAs3NRyyK9n89RjdXMH83Q,36.1684442,-115.1390624,dot3,yellow,1,126
389,e9TeHrdVJe-NaAaEXWapfQ,36.1879301,-115.1167343,dot3,yellow,1,247.5
396,7VDrYNPhDKFURZbK4MRi8w,36.1153521,-115.2245118,dot3,yellow,1,93
397,bj9tSJyT-v51KVekGOG77A,36.122985,-115.22429,dot3,yellow,1,103.5
399,93zReBgrXHZxsONq6JtEzQ,36.114987,-115.2410939,dot3,yellow,1,168
400,5h3pG3cq0eNNErp27V6zRg,36.1129299,-115.2243599,dot3,yellow,1,294
403,RbMQbzxXAbrcABVxjyr87w,36.114935,-115.209737,dot3,yellow,1,312
408,E-vpjU-T7ssWsswziJkJFA,36.115074,-115.2056,dot3,yellow,1,217
417,3UdZcZn_DGPtjk5GSZtLNg,36.1147889,-115.2015722,dot3,yellow,1,315
420,y61Tq9hErVKoT6w-qyRpwQ,36.10119446,-115.2257656,dot3,yellow,1,161
427,n7sSfNtNYYcDZVly7_CTWw,36.1154037,-115.2009972,dot3,yellow,1,206.5
440,aiUid8bYNV8XDiSk7EKOIw,36.118699,-115.186442,dot3,yellow,1,157.5
444,QOZV8_AQnmGEutiahG2VFw,36.11494,-115.200037,dot3,yellow,1,108
452,4ZZab5hinFzHtj3sE8vQWg,36.101139,-115.226559,dot3,yellow,1,303
453,k-hE27MVMEBWdMsto1DeUA,36.10229952,-115.2024506,dot3,yellow,1,231
459,EZkoSglbAjy1_WGlUQtvsg,36.1140874,-115.2404642,dot3,yellow,1,100
465,Gu0L9ZxxCQkQbRvRes2MYw,36.100712,-115.209358,dot3,yellow,1,112.5
471,Clz5M4GWy4t45vgZhz3Y1A,36.1680146,-115.2059198,dot3,yellow,1,116
474,K9Bv1h5BQPXZFl2Q0FnXrw,36.1716799,-115.2065845,dot3,yellow,1,261
481,otcGBl0p5cTCfSOr6O7PCg,36.112986,-115.16345,dot3,yellow,1,204
491,nnPrX9mNtV5jKpo2cMjPWQ,36.1031723,-115.1723638,dot3,yellow,1,246
492,j8qsf2QbpgkUwTe3RORLBw,36.1439367,-115.1181364,dot3,yellow,1,184
494,w0cZMOwwEPO7TpHa55DfeA,36.1030101,-115.1735187,dot3,yellow,1,241.5
513,8CW8_S_wdUJ-bSJ0pg6RiA,36.107194,-115.1521048,dot3,yellow,1,290.5
516,22xuKtFKYUXhTbIjkxGFQw,36.1331149,-115.160359,dot3,yellow,1,208
521,uW9uoAl4bHoSyP1xacjbDA,36.1149099,-115.1555981,dot3,yellow,1,204
528,m6l-NYfSXe1nqxZShVstIg,36.142229,-115.156483,dot3,yellow,1,108
530,oZsWYLfvLBJoonvxObDWtw,36.124423,-115.146372,dot3,yellow,1,100
534,rvlKqYNBiLYOeAfb158KAA,36.129396,-115.136364,dot3,yellow,1,154
537,ep1kzTEks2qlTDiaRT5oJw,36.121559,-115.14491,dot3,yellow,1,104
540,4uuQIYWBqOGOAmU_E6R2bQ,36.011478,-115.174141,dot3,yellow,1,308
548,Y3yvG4fGfOR0iJkGuM-NDQ,36.124423,-115.146372,dot3,yellow,1,259
555,VVKXPSgU3KeLxrXVPYwStw,36.1186973,-115.1542695,dot3,yellow,1,219
556,SSbId_gHGjtXWnObc_S0nw,36.1094088,-115.1727107,dot3,yellow,1,277.5
563,AjO3sJJ_VEsN_RZZT7gUBw,36.1268574,-115.1761671,dot3,yellow,1,228
564,1zXOyqvXGIf-S7vUhNk0pg,36.12401012,-115.149765,dot3,yellow,1,259
572,MWkIQNT5ewKwMfKbixgb6Q,36.127512,-115.1735621,dot3,yellow,1,311.5
581,3aOBodth4gjrWeOdQhrV2g,36.192963,-115.06171,dot3,yellow,1,105
592,kxAQStRhLvv8fM02OlAZxg,36.218985,-115.093035,dot3,yellow,1,216
594,wMRx5hvL9_739HYiFLw6Hw,36.1439202,-115.2804847,dot3,yellow,1,273
595,GircILJUZdJ2X1Uq7a3mbg,36.1585425,-115.2930416,dot3,yellow,1,168
600,085Y4PZ5Ezvh6SCRzxYF0g,36.129869,-115.274722,dot3,yellow,1,241.5
601,PiS3BsDZGPOjwktjckgIYA,36.1361132,-115.2789801,dot3,yellow,1,148
613,wH8J9TI8ReocYZ3N2W04bw,36.1437557,-115.2700332,dot3,yellow,1,141
614,fphcaoXU9ywS5t3zEqYyvA,36.1576804,-115.2918681,dot3,yellow,1,270
616,vBaR0t974nRbvd5tg9lhYQ,36.143312,-115.270792,dot3,yellow,1,246
621,9XlLE3H3j5Uv0w8V01yomQ,36.1384195,-115.2842541,dot3,yellow,1,312
624,YNNuQ1TfcHrs5OyTaC1QLQ,36.1445189,-115.2757054,dot3,yellow,1,144
629,ky_0S-PRZ3jldfFgzBDmsg,36.144951,-115.298961,dot3,yellow,1,252
638,jG3R4dejS9aF8MHGbE8ucQ,36.159901,-115.278969,dot3,yellow,1,156
641,vFHKhV_v1ypXCgPlj79A3Q,36.1281441,-115.2789626,dot3,yellow,1,164
642,qy40Nr-xCumWo1r7SNhbYw,36.1595648,-115.2875418,dot3,yellow,1,161
643,IwKHe7mwjF6uIwfr44ERlw,36.1573134,-115.31363,dot3,yellow,1,132
652,J1UcYfDS-YjBNesfzptKaw,36.1000159,-115.127262,dot3,yellow,1,104
653,abN3TI-6TkzvdjeOCjXawQ,36.0578552,-115.1234868,dot3,yellow,1,102
654,InsT_8VUeBpLGupKuQAlQg,36.0573012,-115.1285587,dot3,yellow,1,112
658,BfTGq2PskVpTaDRtG5baeQ,36.10707963,-115.1370645,dot3,yellow,1,252
659,XoW1XxAqxuh8EadwtHSyig,36.057462,-115.120364,dot3,yellow,1,153
663,5DilfgFM7DJDG8Bws05sFA,36.095424,-115.175922,dot3,yellow,1,192
671,oHwPPRraQnUYD4SgCULO7A,36.1138571,-115.1370379,dot3,yellow,1,108
674,8eyCwj1ZfwSn3fDvnhToTQ,36.114311,-115.1204951,dot3,yellow,1,217
679,HDphuDtcxua590pKTPfY4Q,36.113633,-115.132238,dot3,yellow,1,269.5
682,tqfMTmIZuURut8PkaCrlLw,36.1004431,-115.1347157,dot3,yellow,1,132
687,s5yzZITWU_RcJzWOgjFecw,36.100414,-115.1265829,dot3,yellow,1,312
688,9k9HOeMGUO9A_FaX8H7TDg,36.101357,-115.120376,dot3,yellow,1,168
689,VJC-XcPKeIxpIhYncxZXLQ,36.1006247,-115.1350607,dot3,yellow,1,210
691,S4mUKPBHQeFLuPl2y3-Njg,36.1007863,-115.138749,dot3,yellow,1,213
695,Xng5BfST9E30gMgPZ-q3nw,36.099959,-115.128565,dot3,yellow,1,172
698,w4gafqTSIkBjqPufGEEh6Q,36.0806934,-115.1176587,dot3,yellow,1,140
702,2VGVKzQp0J2vHCICzQnuUQ,36.073179,-115.1175528,dot3,yellow,1,100
703,GoKArNsn4O4RQi3M2Choog,36.102784,-115.13605,dot3,yellow,1,256
704,xUnM3aQI3BIw_zNU8cBgEA,36.083212,-115.175499,dot3,yellow,1,108
717,d6a32QfHpXLdTdTPuR9lMg,36.13347158,-115.0846439,dot3,yellow,1,100
727,_zAaElgmoy9TFRGtRrwwyg,36.1006486,-115.099351,dot3,yellow,1,100
734,4ZuYJjjFrqgyDEeYoizyIw,36.13000488,-115.0935822,dot3,yellow,1,280
736,I9cgZigHeRXhNGpuAyXyjg,36.09971,-115.1039694,dot3,yellow,1,273
738,k5VizHcjHhEpC7Qv4o2m5A,36.1296013,-115.0927902,dot3,yellow,1,306
740,gSJ8rsEkwmDF_L-A84YpmQ,36.1170748,-115.0911513,dot3,yellow,1,160
743,z-xZn8w20sg2jLkZKuiq3Q,36.1014577,-115.0996426,dot3,yellow,1,196
746,yhR_thWkjsa5V4bMhFTN_g,36.0990599,-115.1024835,dot3,yellow,1,296
750,n30q_HaFRWmjFR_bXh9_dg,36.1161328,-115.1378447,dot3,yellow,1,98
757,QNAH_yX7VZj-dQRwDKxsrQ,36.100745,-115.103546,dot3,yellow,1,301.5
764,bUEcGqSBzcoofYo4RSr-AA,36.034012,-115.171268,dot3,yellow,1,136
766,5kOYuJtRjAUWZGDkP8vnRw,36.0211192,-115.1190908,dot3,yellow,1,212
772,qt1L3A6TpSw_36uFsugUew,36.0176758,-115.1188775,dot3,yellow,1,244
776,Mf3kczr0ZQXPic1F7QS8qA,36.0418801,-115.1703534,dot3,yellow,1,112
780,PMzOFEIcK9j4DPZ6jl9y2A,36.006922,-115.146159,dot3,yellow,1,147
786,feT6zWjxJR-VaWrV_pQ5AA,36.041095,-115.120455,dot3,yellow,1,124
787,GH24nKQEuoBf-SvLlim8rQ,36.0106875,-115.1371278,dot3,yellow,1,301
788,vh9CQdZj-1N21kW0qgKmnQ,36.041101,-115.12046,dot3,yellow,1,203
797,FJe0PrtbRzP2jZZYctdkXw,36.010762,-115.171766,dot3,yellow,1,175
799,pzF-KpQF8nRMyTUNu5jp2g,36.0197781,-115.1183069,dot3,yellow,1,93
815,4sxLJ-m3rhjnSSIEC_vqQQ,36.21870801,-115.2590423,dot3,yellow,1,154
818,ns-NxkoIKUJgfZ_WSTzLdw,36.2184533,-115.2627104,dot3,yellow,1,154
819,t-oEAKaswXxRUjvJrLr-Vw,36.2190695,-115.2761585,dot3,yellow,1,135
828,heBREJDcYo2skmEuyxk1vg,36.1591357,-115.3207633,dot3,yellow,1,105
830,M7AMdpRP1rOol5JMYeg3dg,36.16041626,-115.3214437,dot3,yellow,1,102
836,LcyRdze96F97xuiV1AG2eg,36.038397,-115.193713,dot3,yellow,1,126
837,Pr6Hsfn7xOWcKgsqNbFprA,35.973171,-115.182206,dot3,yellow,1,135
843,kpdLm43TItSM2415L_V1FQ,36.1757303,-115.2910289,dot3,yellow,1,161
847,WsqAILgPniet5urqPFHocw,36.1607472,-115.2910679,dot3,yellow,1,122.5
848,WZHIYPqGPaPQW97GNrkqjQ,36.1607478,-115.2910671,dot3,yellow,1,287
851,p879GY3lAFTwkrGOihAn5A,36.1160268,-115.2944204,dot3,yellow,1,222.5
869,unxjJu6JOxVKwGTVdtaXMQ,36.27137207,-115.262993,dot3,yellow,1,96
870,7N5W7tIRFRNBMPULy-P9-g,36.2709598,-115.2676367,dot3,yellow,1,273
888,7K9SJDy5Y0iLtCBCKbvS0w,36.1094088,-115.1727107,dot3,yellow,1,99
901,WGNzivxscW54VZ2BfeLmmg,36.1226902,-115.1701939,dot3,yellow,1,308
936,ruMC34ovVAfUiULxCa3Myw,36.119556,-115.173336,dot3,yellow,1,186
938,JS9Bao1vDxM2BGWMYjEavA,36.11250064,-115.170579,dot3,yellow,1,327.5
940,53i-uJ--nZ7Oz1MycKymLQ,36.126506,-115.165731,dot3,yellow,1,304.5
953,PdZj1gylTC5AaTO21eOYcA,36.1116957,-115.1712045,dot3,yellow,1,130.5
956,5nCo6iU2uysEthHY5m72Jw,36.1268238,-115.1657996,dot3,yellow,1,280
959,Uhw6U1Nj-wtl2cSj2nrTrQ,36.175,-115.136389,dot3,yellow,1,280
962,6ii5JM4zVaonwvgVcj9mfQ,36.0536699,-115.1715795,dot3,yellow,1,324
964,DmePZG8oflIXPukeHNv38A,36.12038056,-115.1765084,dot3,yellow,1,162
972,AbwqwmeGWDFtXuQkW4_xnw,36.120894,-115.171448,dot3,yellow,1,204
976,IWA1J9m0rzU8AgXRjXJUoQ,36.1240302,-115.1711726,dot3,yellow,1,237
982,4DuG6_TQRCe4kpytKBp0Ag,36.1556178,-115.3344727,dot3,yellow,1,111
986,gXrOoqHL_VDpOzli_DG1VA,36.1139286,-115.3042546,dot3,yellow,1,96
1001,wxf6JIS3U1U7d_GMwppq8Q,36.119556,-115.173336,dot3,yellow,1,195
1003,tj1QON3SD7zzp6BE5BTLLw,36.1371122,-115.1529193,dot3,yellow,1,170
1007,HI7tHbCuLMV9MzXXDPamjA,36.15690588,-115.3345103,dot3,yellow,1,120
1015,3o6Jr6gjh_IulczcWdt_Aw,36.098909,-115.175557,dot3,yellow,1,122.5
1021,39LBSx2xXIWy1PzSmX0gVg,36.0533669,-115.2793808,dot3,yellow,1,244
1022,KEAcdirCmRgS7tYZrOpm7w,36.121239,-115.171338,dot3,yellow,1,165
1024,69oTrXljeMNnA8VXd3HRVQ,36.1013946,-115.2978076,dot3,yellow,1,300
1031,lRjt0jii_pyhSH8Z3E7EmQ,36.11696071,-115.1765013,dot3,yellow,1,279
1049,WP7xXx3AnBP0o-NVK5omoQ,36.127754,-115.224318,dot3,yellow,1,318.5
1050,Sb3xeEYG-uEEWcWqsLTZUA,36.125587,-115.211199,dot3,yellow,1,196
1051,cgFiAUsYCiw9RBX4SgkZUA,36.15728105,-115.3336143,dot3,yellow,1,300
1052,P0fdd-AyeJMcCD6PYT30WQ,36.097616,-115.297818,dot3,yellow,1,159
1058,ZA7GsC5JNswGGXSjsGwUug,36.130315,-115.140852,dot3,yellow,1,216
1071,wE_exQZBL8sMy2DilI5qAQ,36.1253148,-115.2463595,dot3,yellow,1,212
1076,PiDKW4Tqn98_D8WUcBQZow,36.2576752,-115.2304131,dot3,yellow,1,95
1080,1we3mDehB1V7IYX9hIoeTQ,36.11603686,-115.1924229,dot3,yellow,1,224
1082,oerixQiFOO0rzaPkjkDNTA,36.124423,-115.146372,dot3,yellow,1,171.5
1087,ROlYDMi1U3LaHStmuELRxQ,36.1207056,-115.1717867,dot3,yellow,1,290.5
1089,G9KKI4P4D9LiPkbTTZLXdA,36.1441896,-115.1743629,dot3,yellow,1,234
1099,3W59npo0X8utnGYLxl8GvA,36.14294,-115.242469,dot3,yellow,1,217
1106,UDChQLVuz9SYgyyIoEqDkQ,36.108111,-115.136431,dot3,yellow,1,135
1110,NCVmm5-crBCYCzNumZ90FA,36.1693227,-115.1413073,dot3,yellow,1,237.5
1112,pe6auP0feE_GPjt0h4RsjA,36.076502,-115.2431595,dot3,yellow,1,216
1113,y5BUbjBZGvf4tAk_TCSXzA,36.1605793,-115.1748253,dot3,yellow,1,140
1126,PU5jA1bzjbNCyFfCmjqTlw,36.01249821,-115.1754201,dot3,yellow,1,241.5
1128,r5UCwy5gCwZKYgO6-yV-fA,36.10279,-115.136057,dot3,yellow,1,304
1131,1u0JcvPFQz9TIYrT1GnEhw,36.108898,-115.151261,dot3,yellow,1,165
1133,VxV3IHS33O4ha71ABE8J0A,36.10259,-115.136559,dot3,yellow,1,204
1134,oLqW-x0egbOi0I8uOZ7Gwg,36.1134879,-115.152279,dot3,yellow,1,294
1139,qS1e8z6XXjN2IewBAfq5_g,36.108111,-115.136431,dot3,yellow,1,206.5
1141,PSFWA3pgyB0-uE6hG2GXAQ,36.126365,-115.1969498,dot3,yellow,1,192.5
1143,io-DMLbRaUEdjqXmKjXsQw,36.11834335,-115.3388214,dot3,yellow,1,189
1149,RnAb3jj64-4CXqf8la7nmw,36.1830457,-115.1806837,dot3,yellow,1,147
1152,vZ2dPk0fPQu4wrXx-DKeDw,36.105583,-115.136831,dot3,yellow,1,186
1155,bFXlrZNsDOEhSW-Qnkt3mQ,36.1255378,-115.2232902,dot3,yellow,1,318.5
1157,WfdHpV_TeaftuwIGcwBQBQ,36.11308135,-115.1598072,dot3,yellow,1,248.5
1159,ECbznso003XMWuS5jfClyw,36.089494,-115.138026,dot3,yellow,1,111
1165,IajLEuqz49slYhVoFGZapg,36.1707639,-115.1435262,dot3,yellow,1,123
1173,T9WBfNphrozj0Ww4pyAAww,36.06513,-115.119046,dot3,yellow,1,217
1182,GVbH-lCr1b122ouFueNihw,36.1387481,-115.1364552,dot3,yellow,1,117
1188,qJrZMwAfkPrOB6mhjPfv8A,36.1434111,-115.2980803,dot3,yellow,1,126
1198,3mrp7wim9_rCMTO3kRp3Rw,36.0577328,-115.1583224,dot3,yellow,1,189
1203,5uFygzVs7XnVVPpmw4EFMg,36.04577,-115.243934,dot3,yellow,1,292
1205,xkf923jszKh7RkQy7VulxQ,36.0509873,-115.2435629,dot3,yellow,1,164
1211,y_L32uJc_sPupdjhb2YO-g,36.241946,-115.234077,dot3,yellow,1,207
1222,L3SsS_yntv9vJUUUwzMYcQ,36.2636158,-115.2513918,dot3,yellow,1,98
1228,S6Yknt3RNREcfzpOJ0unJg,35.9975534,-115.2057088,dot3,yellow,1,96
1230,YT2MnnnSclWim7HOAl3aXA,36.1445199,-115.1391949,dot3,yellow,1,232
1231,NJK4GW2pjvmvAPQ_OXMHQw,36.0292843,-115.1162048,dot3,yellow,1,180
1233,sHTTvLg502AaITfVfMkecA,36.078642,-115.279971,dot3,yellow,1,270
1243,xx8DVj1NQfJR33B9e8t5vg,36.02534349,-115.1510466,dot3,yellow,1,264
1254,LE07Aw-kgW4OHpdBHWYe5g,36.1586036,-115.2367146,dot3,yellow,1,166.5
1258,YBftkbXRwi-CB6zlAAk5DA,36.0423566,-115.2785401,dot3,yellow,1,93
1262,YJmHANxQvmldWbxqzwdaQw,36.1186973,-115.1542695,dot3,yellow,1,157.5
1269,1PSXa1NyhW21P-iTgEs1uw,36.16621435,-115.0619736,dot3,yellow,1,124
1276,kSSvuD81S7T1Nrr2qsXVPQ,36.11342973,-115.3079676,dot3,yellow,1,96
1277,f9G8rYZ-HpQvekvizABeKg,36.1452214,-115.1187783,dot3,yellow,1,104
1279,ddJK59dydw4vGgRZbcznzw,36.15805817,-115.0468674,dot3,yellow,1,117
1280,TsDD1Svyl1Oqf6HImW_jHw,36.0532414,-115.1723524,dot3,yellow,1,267
1284,8Mb6nc1Qt0cXWue67DJ1aw,36.1503339,-115.1534046,dot3,yellow,1,238
1288,Hpc1wwhlPrVDp4BtozjcIA,36.1002283,-115.2098642,dot3,yellow,1,99
1293,a3adM4iw2_BfjP1-T0ZQLw,36.1135548,-115.3073046,dot3,yellow,1,129
1297,iPIbM34qhj3Slz1HiWVYVg,36.2190148,-115.2768107,dot3,yellow,1,206.5
1298,DAha3IRYbGJh0UbvMHJ77w,36.1040794,-115.1727677,dot3,yellow,1,190
1309,JtvwIwSl6rXVKacqP8avyw,36.12033871,-115.1743889,dot3,yellow,1,306
1314,YVmP0J7WjYKvbhAknWIUaw,36.175797,-115.291162,dot3,yellow,1,111
1316,xXPf6scUPzkoQ4uBvqzy_w,36.1439269,-115.2760775,dot3,yellow,1,101.5
1320,jWiGtY7hTqBjbzN3yyRXbw,36.181417,-115.139396,dot3,yellow,1,126
1326,WvcDPv5Kk2xAKhmUoFx7TA,36.1171675,-115.177901,dot3,yellow,1,252
1329,VrOvy_k0uZoYcXQukEUMBA,36.070665,-115.162336,dot3,yellow,1,160
1332,bOvxdXGgqaJSzaOoh-VZLQ,36.1230335,-115.075618,dot3,yellow,1,129
1343,7mCfOift6h53OF0kQlUXUg,36.14303557,-115.1370594,dot3,yellow,1,284
1353,LuRD_O-qFm4nDXlVXkI2Jg,36.0550762,-115.0835713,dot3,yellow,1,99
1357,VZvascneA5T6IpHH0HWm7w,36.1411656,-115.1366006,dot3,yellow,1,153
1359,DLvFW0lFhGJ-k0oiIAJGXQ,36.1592631,-115.078234,dot3,yellow,1,300
1363,dLqRa4P-ejeHxPHxZ2Naqg,36.2800493,-115.2613293,dot3,yellow,1,123
1365,VtgBj2eu31O5aU3fJI6CHw,36.155701,-115.244204,dot3,yellow,1,132
1367,yghonKu_3q4Iu08HbNsyOQ,36.0123098,-115.1189623,dot3,yellow,1,99
