attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",XxWRdwYhYqBeUelix0qSFg,"['Music & DVDs', 'Books, Mags, Music & Video', 'Toy Stores', 'Shopping', 'Bookstores']",Pittsburgh,"926 Old Freeport Rd
Pittsburgh, PA 15238",{},40.4891725951984,-79.8940369988684,Barnes & Noble Booksellers,[],True,4,4.5,PA,business
"{'Alcohol': 'full_bar', 'Has TV': False, 'Music': {'karaoke': False, 'dj': False, 'video': False, 'background_music': True, 'live': True, 'jukebox': False}, 'Outdoor Seating': False, 'Smoking': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}, 'Price Range': 2, 'Noise Level': 'very_loud', 'Happy Hour': False, 'Accepts Credit Cards': True, 'Good For Dancing': True, 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': False, 'touristy': False, 'classy': False, 'divey': False}, 'Good For Groups': True, 'Coat Check': False, 'Good for Kids': False}",ysb8Ew0j3mta6c0xUxBM5g,"['Arts & Entertainment', 'Nightlife', 'Music Venues']",Pittsburgh,"378 Freeport Rd
Pittsburgh, PA 15238",{},40.494257,-79.85969200000001,Moondogs Pub,[],True,3,4.0,PA,business
"{'Accepts Credit Cards': True, 'Good for Kids': False, 'Price Range': 3, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",X52stQurJ042wHifv9ZwRA,"['Active Life', 'Shopping', 'Gun/Rifle Ranges', 'Guns & Ammo']",Belmont,"2 Caldwell Dr
Belmont, NC 28012","{'Saturday': {'close': '19:00', 'open': '10:00'}, 'Monday': {'close': '19:00', 'open': '10:00'}, 'Sunday': {'close': '17:00', 'open': '13:00'}, 'Friday': {'close': '19:00', 'open': '10:00'}, 'Thursday': {'close': '19:00', 'open': '10:00'}, 'Wednesday': {'close': '19:00', 'open': '10:00'}, 'Tuesday': {'close': '19:00', 'open': '10:00'}}",35.258873,-81.02551899999999,Shooters Express Gun Shop,[],True,15,3.5,NC,business
{'Good for Kids': True},9suOKiqdG9WXJsf6hI9z_g,"['Museums', 'Arts & Entertainment']",Huntersville,"6000 Sample Rd
Huntersville, NC 28078","{'Saturday': {'close': '17:00', 'open': '10:00'}, 'Monday': {'close': '17:00', 'open': '10:00'}, 'Sunday': {'close': '17:00', 'open': '12:00'}, 'Friday': {'close': '17:00', 'open': '10:00'}, 'Thursday': {'close': '17:00', 'open': '10:00'}, 'Wednesday': {'close': '17:00', 'open': '10:00'}, 'Tuesday': {'close': '17:00', 'open': '10:00'}}",35.3503059457119,-80.9183981534424,Carolina Raptor Center,[],True,15,4.5,NC,business
{'Good for Kids': True},M713eOI4nQHyfQ39rqtRPQ,"['Active Life', 'Arts & Entertainment', 'Stadiums & Arenas', 'Amateur Sports Teams']",Huntersville,"11711 Alexanderana Rd
Huntersville, NC 28078",{},35.372285,-80.839481,Strikers Soccer Center,[],True,3,4.0,NC,business
{'By Appointment Only': True},zQOvb29OxZ-NCBnKSyHfYg,"['Shopping', 'Optometrists', 'Health & Medical', 'Eyewear & Opticians']",Charlotte,"9651-800 Brookdale Dr
Charlotte, NC 28215","{'Friday': {'close': '17:00', 'open': '08:00'}, 'Thursday': {'close': '17:00', 'open': '08:00'}, 'Tuesday': {'close': '17:00', 'open': '08:00'}, 'Wednesday': {'close': '17:00', 'open': '08:00'}, 'Monday': {'close': '17:00', 'open': '08:00'}}",35.283162,-80.66917590000001,University Eye Associates OD,[],True,3,3.5,NC,business
"{'Accepts Credit Cards': False, 'By Appointment Only': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",6YZ2oV54z160Zrf9QQkcJQ,"['Fashion', 'Shopping', 'Home Decor', 'Used, Vintage & Consignment', 'Home & Garden', 'Antiques']",Charlotte,"7100 Statesville Rd
Derita
Charlotte, NC 28269",{},35.3207869,-80.8398313,Metrolina Expo Fine Antiques & Collectables Show,['Derita'],True,6,3.5,NC,business
{'Good for Kids': True},LHO7wa6wKHVjloLAVTlXkA,"['Museums', 'Landmarks & Historical Buildings', 'Arts & Entertainment', 'Public Services & Government']",Charlotte,"4672 First Flight Dr
Charlotte, NC 28208","{'Saturday': {'close': '17:00', 'open': '10:00'}, 'Monday': {'close': '16:00', 'open': '10:00'}, 'Sunday': {'close': '17:00', 'open': '13:00'}, 'Friday': {'close': '16:00', 'open': '10:00'}, 'Thursday': {'close': '16:00', 'open': '10:00'}, 'Wednesday': {'close': '16:00', 'open': '10:00'}, 'Tuesday': {'close': '16:00', 'open': '10:00'}}",35.219796,-80.930091,Carolinas Aviation Museum,[],True,19,3.5,NC,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",iBwurIyQCD9BRqmvxKZqMA,"['Mattresses', 'Electronics', 'Shopping', 'Home & Garden', 'Appliances']",Charlotte,"2430 Queen City Dr
Charlotte, NC 28208","{'Saturday': {'close': '20:00', 'open': '10:00'}, 'Monday': {'close': '20:00', 'open': '10:00'}, 'Friday': {'close': '20:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '20:00', 'open': '10:00'}, 'Tuesday': {'close': '20:00', 'open': '10:00'}}",35.240797,-80.908839,Queen City,[],True,4,4.0,NC,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",uAOkzDB-utLw2u-6SNGdlA,"['Thrift Stores', 'Shopping']",Charlotte,"2917 Freedom Dr
Charlotte, NC 28208",{},35.238805,-80.888476,Value Village Thrift Store,[],True,7,4.0,NC,business
"{'Accepts Credit Cards': True, 'Price Range': 2}",jWYnfZJr6ZRW8PeQNA56lQ,"['Shopping', 'Mobile Phones']",Charlotte,"4350 Golf Acres Dr
Charlotte, NC 28208",{},35.224846,-80.91719599999999,AT&T,[],False,6,1.0,NC,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",gfQriEp9aqLZgMhRSU5KJw,"['Food', 'Grocery', 'Shopping', 'Drugstores']",Charlotte,"8538 Park Rd
Charlotte, NC 28210","{'Saturday': {'close': '00:00', 'open': '00:00'}, 'Monday': {'close': '00:00', 'open': '00:00'}, 'Sunday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}}",35.116603000000005,-80.85824699999999,Harris Teeter,[],True,11,3.5,NC,business
"{'Wheelchair Accessible': False, 'Accepts Credit Cards': True, 'Price Range': 3, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",TvHtup0F_Ilkc9Nunc7TNw,"['Sporting Goods', 'Fashion', 'Shopping', 'Sports Wear', 'Outdoor Gear']",Charlotte,"4732 Sharon Rd
Ste 2M
Quail Hollow
Charlotte, NC 28210","{'Saturday': {'close': '21:00', 'open': '10:00'}, 'Monday': {'close': '21:00', 'open': '10:00'}, 'Sunday': {'close': '18:00', 'open': '13:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}}",35.132931,-80.85951899999999,Jesse Brown's Outdoors,['Quail Hollow'],True,7,4.0,NC,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",nxU6e-9vmVFO6cEz_o-tVw,"['Food', 'Grocery']",Charlotte,"3540 Mt Holly-Huntersville Rd
Charlotte, NC 28216","{'Saturday': {'close': '23:00', 'open': '06:00'}, 'Monday': {'close': '23:00', 'open': '06:00'}, 'Sunday': {'close': '23:00', 'open': '06:00'}, 'Friday': {'close': '23:00', 'open': '06:00'}, 'Thursday': {'close': '23:00', 'open': '06:00'}, 'Wednesday': {'close': '23:00', 'open': '06:00'}, 'Tuesday': {'close': '23:00', 'open': '06:00'}}",35.3226749,-80.9456189,Harris Teeter,[],True,6,3.5,NC,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",THKEfu-Inj4UGVwMChoNhA,"['Food', 'Grocery', 'Shopping', 'Drugstores']",Charlotte,"4100 Carmel Rd
Charlotte, NC 28226","{'Saturday': {'close': '22:00', 'open': '07:00'}, 'Monday': {'close': '22:00', 'open': '07:00'}, 'Sunday': {'close': '22:00', 'open': '07:00'}, 'Friday': {'close': '22:00', 'open': '07:00'}, 'Thursday': {'close': '22:00', 'open': '07:00'}, 'Wednesday': {'close': '22:00', 'open': '07:00'}, 'Tuesday': {'close': '22:00', 'open': '07:00'}}",35.117117,-80.824515,Harris Teeter,[],True,4,3.5,NC,business
{'Good for Kids': True},xX0o2QJDELtcnLbzlEwhhg,"['Arts & Entertainment', 'Cinema']",Charlotte,"11240 N Tryon St
Charlotte, NC 28262",{},35.333031,-80.717127,Starlight Stadium 14,[],False,10,3.5,NC,business
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",KuFSrX8CKnywmnwW06EqMw,"['Shopping', 'Drugstores']",Charlotte,"10515 Mallard Creek Rd
Highland Creek
Charlotte, NC 28262","{'Saturday': {'close': '22:00', 'open': '07:00'}, 'Monday': {'close': '22:00', 'open': '07:00'}, 'Sunday': {'close': '22:00', 'open': '07:00'}, 'Friday': {'close': '22:00', 'open': '07:00'}, 'Thursday': {'close': '22:00', 'open': '07:00'}, 'Wednesday': {'close': '22:00', 'open': '07:00'}, 'Tuesday': {'close': '22:00', 'open': '07:00'}}",35.342562,-80.767696,Cvs Pharmacy,['Highland Creek'],True,10,2.5,NC,business
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",z4UT-fCutzV_LBdhxhVHAg,"['Food', 'Grocery']",De Forest,"621 S Main St
De Forest, WI 53532",{},43.2411855,-89.3437256,Pick N Save,[],True,4,2.0,WI,business
{'Good for Kids': True},368m5-RtrrYWf4hPM_bMlg,"['Active Life', 'Arts & Entertainment', 'Stadiums & Arenas']",Middleton,"8312 Forsythia St
Middleton, WI 53562","{'Saturday': {'close': '21:00', 'open': '09:00'}, 'Monday': {'close': '21:00', 'open': '09:00'}, 'Sunday': {'close': '21:00', 'open': '12:00'}, 'Friday': {'close': '21:00', 'open': '09:00'}, 'Thursday': {'close': '21:00', 'open': '09:00'}, 'Wednesday': {'close': '21:00', 'open': '09:00'}, 'Tuesday': {'close': '21:00', 'open': '09:00'}}",43.1101571,-89.52642809999999,Keva Sports Center,[],True,3,3.5,WI,business
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",cgCqxPhadIAlsqnD1MoWuQ,"['Shopping', 'Arts & Crafts', 'Event Planning & Services', 'Cards & Stationery', 'Art Supplies', 'Flowers & Gifts']",Middleton,"1661 Deming Way
Middleton, WI 53562","{'Saturday': {'close': '21:00', 'open': '09:30'}, 'Monday': {'close': '21:00', 'open': '09:30'}, 'Sunday': {'close': '18:00', 'open': '11:00'}, 'Friday': {'close': '21:00', 'open': '09:30'}, 'Thursday': {'close': '21:00', 'open': '09:30'}, 'Wednesday': {'close': '21:00', 'open': '09:30'}, 'Tuesday': {'close': '21:00', 'open': '09:30'}}",43.0954975,-89.52352459999999,Archivers,[],False,3,3.5,WI,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'By Appointment Only': False, 'Price Range': 3, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",8MqyXoay37xSmlUKjYv1XA,"['Shopping', 'Drugstores', 'Beauty & Spas', 'Food', 'Convenience Stores', 'Cosmetics & Beauty Supply']",Middleton,"2010 Branch St
Middleton, WI 53562","{'Saturday': {'close': '22:00', 'open': '07:00'}, 'Monday': {'close': '22:00', 'open': '08:00'}, 'Sunday': {'close': '22:00', 'open': '08:00'}, 'Friday': {'close': '22:00', 'open': '07:00'}, 'Thursday': {'close': '22:00', 'open': '07:00'}, 'Wednesday': {'close': '22:00', 'open': '07:00'}, 'Tuesday': {'close': '22:00', 'open': '07:00'}}",43.097044,-89.49508940000001,Walgreens,[],True,4,4.0,WI,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 3, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",h8sRoUSjulDu9MfeUTEu6Q,"['Lighting Fixtures & Equipment', 'Electronics', 'Musical Instruments & Teachers', 'Shopping', 'Home Services']",Madison,"9770 Silicon Prairie Pkwy
Madison, WI 53593","{'Friday': {'close': '17:30', 'open': '09:00'}, 'Wednesday': {'close': '17:30', 'open': '09:00'}, 'Tuesday': {'close': '17:30', 'open': '09:00'}, 'Thursday': {'close': '17:30', 'open': '09:00'}, 'Monday': {'close': '17:30', 'open': '09:00'}}",43.057022700000005,-89.55864840000001,Full Compass Systems,[],True,6,3.5,WI,business
"{'Accepts Credit Cards': True, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",nOrDXgFkFX33D1zUiSLs4g,"['Videos & Video Game Rental', 'Books, Mags, Music & Video', 'Shopping']",Middleton,"5430 Century Ave
Middleton, WI 53562",{},43.1111016,-89.4744465,Family Video Movie Club,[],True,3,4.5,WI,business
"{'Accepts Credit Cards': True, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",tZbKiggbDGeBpGnOYk0Syw,"['Food', 'Department Stores', 'Grocery', 'Fashion', 'Shopping']",Sun Prairie,"1905 Mccooy Road
Sun Prairie, WI 53590",{},43.1744162,-89.2459902,Walmart Supercenter,[],True,3,2.0,WI,business
{'Good for Kids': True},yrtaaA32fCMh6A-DcGAnrg,"['Arts & Entertainment', 'Race Tracks']",Sun Prairie,"315 Park St
Sun Prairie, WI 53590",{},43.1798042,-89.2100449,Angell Park Speedway,[],True,4,3.5,WI,business
"{'Accepts Credit Cards': True, 'By Appointment Only': False, 'Outdoor Seating': False, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}, 'Wi-Fi': 'free', 'Good for Kids': True, 'Price Range': 2}",OYZOzzipfXdWrYe1A2zeKw,"['Food', 'Coffee & Tea', 'Art Galleries', 'Shopping', 'Arts & Entertainment']",Madison,"1865 Northport Dr
Sherman
Madison, WI 53704","{'Saturday': {'close': '18:00', 'open': '07:00'}, 'Monday': {'close': '19:00', 'open': '06:30'}, 'Sunday': {'close': '18:00', 'open': '07:00'}, 'Friday': {'close': '19:00', 'open': '06:30'}, 'Thursday': {'close': '19:00', 'open': '06:30'}, 'Wednesday': {'close': '19:00', 'open': '06:30'}, 'Tuesday': {'close': '19:00', 'open': '06:30'}}",43.1294885,-89.36073780000001,The Coffee Gallerie,['Sherman'],True,9,3.0,WI,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 1, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",NxxplxNZnrNEYXHTgv9h8g,"['Videos & Video Game Rental', 'Books, Mags, Music & Video', 'Shopping']",Madison,"4120 Monona Dr
Lake Edge
Madison, WI 53716","{'Saturday': {'close': '22:00', 'open': '10:00'}, 'Monday': {'close': '22:00', 'open': '10:00'}, 'Sunday': {'close': '22:00', 'open': '10:00'}, 'Friday': {'close': '22:00', 'open': '10:00'}, 'Thursday': {'close': '22:00', 'open': '10:00'}, 'Wednesday': {'close': '22:00', 'open': '10:00'}, 'Tuesday': {'close': '22:00', 'open': '10:00'}}",43.0786878,-89.3241248,Bongo Video,['Lake Edge'],False,3,5.0,WI,business
{},rYM99lw8LjkAnryA8PWCJw,"['Shopping', 'Home & Garden', 'Appliances']",Madison,"2302 Mustang Way
Madison, WI 53718","{'Saturday': {'close': '14:00', 'open': '10:00'}, 'Monday': {'close': '17:00', 'open': '08:00'}, 'Friday': {'close': '17:00', 'open': '08:00'}, 'Thursday': {'close': '17:00', 'open': '08:00'}, 'Wednesday': {'close': '17:00', 'open': '08:00'}, 'Tuesday': {'close': '17:00', 'open': '08:00'}}",43.064853,-89.2958979,Kirch Appliance Inc,[],True,3,4.0,WI,business
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",SqdO4jenDHNwHeSKmULPrA,"['Hardware Stores', 'Building Supplies', 'Shopping', 'Home Services', 'Home & Garden']",Monona,"6401 Copps Ave
Monona, WI 53716",{},43.049456,-89.3124647,Menards,[],True,9,2.0,WI,business
{},ImBOmnSOb1ajWskhQyaa4Q,"['Shopping', 'Automotive', 'Sporting Goods', 'Auto Parts & Supplies', 'Local Services', 'IT Services & Computer Repair', 'Telecommunications']",Madison,"4806 E Broadway
Madison, WI 53716","{'Saturday': {'close': '15:00', 'open': '10:00'}, 'Monday': {'close': '18:00', 'open': '09:00'}, 'Friday': {'close': '18:00', 'open': '09:00'}, 'Thursday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '18:00', 'open': '09:00'}, 'Tuesday': {'close': '18:00', 'open': '09:00'}}",43.048289200000006,-89.2992105,The Radio Doctor,[],True,4,4.0,WI,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'By Appointment Only': False, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",psze2Qlw2_dEsFpDj0N08w,"['Shopping', 'Antiques']",Madison,"4748 Cottage Grove Rd
Rolling Meadows
Madison, WI 53716","{'Saturday': {'close': '17:00', 'open': '10:00'}, 'Monday': {'close': '18:00', 'open': '10:00'}, 'Sunday': {'close': '17:00', 'open': '11:00'}, 'Friday': {'close': '18:00', 'open': '10:00'}, 'Thursday': {'close': '20:00', 'open': '10:00'}, 'Wednesday': {'close': '18:00', 'open': '10:00'}, 'Tuesday': {'close': '18:00', 'open': '10:00'}}",43.085386299999996,-89.299839,Antiques Mall Of Madison,['Rolling Meadows'],True,9,4.0,WI,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",6Y_Y3Nzzf9FsjyXtjIll7w,"['Food', 'Beer, Wine & Spirits', 'Tobacco Shops', 'Shopping']",Monona,"6000 Monona Dr
Ste 103
Monona, WI 53716",{},43.0536435,-89.32524140000001,Tasting Room,[],True,7,4.5,WI,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Delivery': False, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}}",0h0CK1TUmQ28D67KIqDjDw,"['Bakeries', 'Grocery', 'Shopping', 'Florists', 'Food', 'Flowers & Gifts']",Urbana,"1819 Philo Rd
Urbana, IL 61802",{},40.095354,-88.19231490000001,County Market Discount Foods,[],True,5,2.0,IL,business
"{'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",-R6Vfo22FX33o64OLq6Ktg,"['Flowers & Gifts', 'Shopping', 'Florists']",Champaign,"315 E University Ave
Champaign, IL 61820",{},40.116052,-88.233756,Ginza & Co,[],False,3,4.0,IL,business
"{'Accepts Credit Cards': True, 'Price Range': 2, 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': False, 'street': False}}",uvQoMkdnjs5roWgFa2QISQ,['Shopping'],Phoenix,"2746 E McDowell Rd
Phoenix, AZ 85008","{'Saturday': {'close': '19:00', 'open': '09:00'}, 'Monday': {'close': '19:00', 'open': '09:00'}, 'Sunday': {'close': '18:00', 'open': '10:00'}, 'Friday': {'close': '19:00', 'open': '09:00'}, 'Thursday': {'close': '19:00', 'open': '09:00'}, 'Wednesday': {'close': '19:00', 'open': '09:00'}, 'Tuesday': {'close': '19:00', 'open': '09:00'}}",33.4659655,-112.021825,Botas El Jibaro,[],True,3,3.5,AZ,business
"{'Wheelchair Accessible': True, 'Alcohol': 'full_bar', 'Has TV': False, 'Music': {'karaoke': False, 'dj': False, 'video': False, 'background_music': False, 'live': False, 'jukebox': False}, 'Outdoor Seating': True, 'Smoking': 'no', 'Parking': {'valet': False, 'garage': False, 'validated': False, 'lot': True, 'street': False}, 'Price Range': 2, 'Noise Level': 'quiet', 'Happy Hour': True, 'Accepts Credit Cards': True, 'Good For Dancing': False, 'Ambience': {'romantic': False, 'intimate': False, 'upscale': False, 'trendy': False, 'hipster': False, 'casual': True, 'touristy': False, 'classy': False, 'divey': False}, 'Good For Groups': True, 'Coat Check': False, 'Good for Kids': True}",qMkIbQFrROSnPaQ7at85-w,"['Arts & Entertainment', 'Music Venues', 'Parks', 'Nightlife', 'Active Life', 'Botanical Gardens']",Phoenix,"1201 N Galvin Pkwy
Phoenix, AZ 85008","{'Saturday': {'close': '20:00', 'open': '08:00'}, 'Monday': {'close': '20:00', 'open': '08:00'}, 'Sunday': {'close': '20:00', 'open': '08:00'}, 'Friday': {'close': '20:00', 'open': '08:00'}, 'Thursday': {'close': '20:00', 'open': '08:00'}, 'Wednesday': {'close': '20:00', 'open': '08:00'}, 'Tuesday': {'close': '20:00', 'open': '08:00'}}",33.4620773,-111.94509779999998,Desert Botanical Garden,[],True,435,4.5,AZ,business
