business_id,latitude,longitude,stars,review_count,success_cat
s6zzKc7UvwDRxn-BFlhiTg,33.4527955,-112.0693177,2.0,4,1
4WcxnNv_lzCIG2eb8O5Mlg,33.44455,-112.073577,3.5,7,3
gkv2XvXpFgiq4Bb2XK7YmQ,33.446885057319,-112.07107588649,3.0,93,9
If2DUhmWIvlu2JFc_rR-Bw,33.448333,-112.074127,3.5,25,6
xH5axHFadmc7Veutt376TA,33.4655868,-112.0654701,1.5,14,4
Vvh2Hd4SsZjEEfKLNKAEWw,33.4793076,-112.0738063,4.0,12,4
sInUSy63Oh455uWs9p9OqQ,33.477111,-112.074398,4.0,7,3
x8WoC_7WHzXNmt6J13Nbvw,33.477594,-112.072914,2.0,4,1
wki-Qlp3OWgH0XtZ-Jz_WQ,33.4483756751795,-112.072706876078,4.0,43,7
OoHWabV-ym7_HWlHeXTsVA,33.479508,-112.074206,3.5,53,8
oSKT5oZX1NWYaHwOWL5lag,33.4793963,-112.0736133,3.5,43,7
QAe9UHKsxPdXQovBpaznMQ,33.476644,-112.0736968,2.5,15,5
q1nDSpmV-FdTBNj6UuZvTg,33.4796505,-112.0742162,3.0,205,10
muCl5p-9ut1sY0aKeUeRhw,33.463172,-112.074725,3.5,186,10
oCA2OZcd_Jo_ggVmUx3WVw,33.444801984944,-112.07211772211,3.5,335,10
eK6KGMKqU_4nB9RdayZD7Q,33.4423368,-112.0657857,2.5,23,6
jn3OgTqiQIFymRA9U0PTfQ,33.444799,-112.066662,3.5,7,3
1-1VcGTL3GyCqUpXZLFTZA,33.445956,-112.06625,3.5,81,9
odhXwWaYZvD_icIN6f_DbA,33.4574932,-112.0740241,3.5,81,9
avPNEqlXgyBvTXjb-ujQFA,33.4794961,-112.0469586,2.0,5,2
ldIxXmxD3Cku0vODGYb9dQ,33.4794961,-112.0469586,2.5,7,3
hWhVP-28LYP3llaMlAJ_JA,33.466442,-112.032374,4.0,160,10
ixTr1qXUFGTzyaZUuCDDvg,33.4654334,-112.063548,3.5,23,6
ZoQAOnEFnyHjSpomtfqesA,33.4702022,-112.0653186,4.0,82,9
apCfJVnRyaw6oVUBKujpUQ,33.45107,-112.055957,4.0,159,10
ykfTh6HI219NoMsWBxulxw,33.466043,-112.05026,3.5,81,9
McdTNj-TUMOlfkHwQWs4rg,33.4737197,-112.0476524,4.5,3,1
tb24fvNJfHhyKEXkKn12Xw,33.4588282,-112.0610433,4.5,266,10
VXIkI9_EbDbYHeO9IzKjJg,33.4596905,-112.0462108,4.5,131,10
VKxn7zmp8nOYT-ZHFZTjgA,33.470126,-112.04693,4.0,19,5
rbiRLiFTG098z9JaK3Nshw,33.4659637,-112.0506694,4.5,60,8
cgNIBHS2mLdbTRiodAT6EQ,33.459347,-112.064755,4.0,70,8
SZvYxcvYYVRue9MXcEDjsA,33.470783,-112.065371,3.0,27,6
5-X03Zc0nN7U5eoe8uFUdw,33.4712477,-112.0650649,4.0,174,10
0De3TQ_uSOXwgduKL0va3w,33.466215,-112.063247,3.5,11,4
R6aazv8FB-6BeanY3ag8kw,33.473125,-112.0650914,3.5,198,10
Xo9Im4LmIhQrzJcO4R3ZbA,33.4579361,-112.0520629,4.5,179,10
YECRdaM6wN6eaGOYi5g8uA,33.465674,-112.033977,4.5,29,6
NYBx4sdSVrN-I5Q8RfLMPg,33.4655483,-112.0410568,4.0,35,7
Cp6JGY5YIRncTV_My9nf9g,33.4575804,-112.0472907,4.5,212,10
04HakCR6gEeRYNAoKxkppQ,33.466038,-112.047341,3.0,5,2
ITyAEjIw9ekv0wXpGHQF1Q,33.4657569,-111.9725723,3.5,5,2
q2SZa5g85758iW1L9sSL1g,33.466736,-112.029768,4.0,53,8
po5FyERB4lUZNnBIwnhFlg,33.4661343,-111.973718,3.0,25,6
I2IofjP2sHZUkv7pcoc33A,33.466085,-112.013243,3.5,4,1
_RBUU1y4yJrK0SPAd8z0-w,33.4657562,-111.9718284,3.5,148,10
WyJuGTwFwoN0k8iX8FsqYw,33.458744,-112.029827,3.5,3,1
PEHJjxdw11TGFma9Zhz3ng,33.466124,-112.015464,3.5,106,9
zU8IfotOLryhaz5okWx6cA,33.45111,-112.001533,3.0,5,2
h2ewvzx8enIwYhNbtIpcZw,33.452835,-111.99018,2.5,6,2
xfk9eY8gmwn8qsbyd-W6lQ,33.4514039,-111.973603,3.0,149,10
_gXpjRIjb5fv5f5IVGXvsw,33.466688,-111.987753,3.0,16,5
11TvD4sCfA8GEqLDANpbSQ,33.4511467,-111.9810186,3.5,12,4
ZAgPh4v-oOb1g6cdlkKI0g,33.4520972,-111.9786425,3.5,12,4
PsuvqWNmLBU8ABkch2d9vA,33.4552907,-111.9878697,3.5,44,7
2unQHR9uaRxk3dsW6f3MGA,33.455418,-111.987786,3.0,48,7
4rcOm0NnQkBanyS5g7TSNg,33.4656111,-112.011862,3.5,4,1
s87D-mtAuJ8BluKgYYsXGw,33.4796892,-112.0297946,4.0,41,7
yQONzVpX-DEpGSuKMIov6A,33.455418,-111.987786,3.5,150,10
9tefv6uPxoHhp_OlQQJVXA,33.4767236,-112.0127202,2.5,11,4
IgaruuknYwCr9afeDYQ_yw,33.4729919,-111.986969,4.0,31,6
Um5VnQXli9IwplV2rmgggg,33.478444,-111.9864838,3.0,31,6
_8Y-XNHmQ76xmxUQIrn0sA,33.4736745,-111.9862587,4.0,7,3
rAb_wfdKKPPbcIysjYcW4A,33.451004,-112.021191,4.0,9,3
hzUOqxpcnYYBgLlrgvjQYQ,33.476082,-111.986469,2.5,58,8
5UBAWhxukaPrc_0DalT-3w,33.476956,-111.986944,3.0,8,3
jzPMl-NoB5F2fwoHX3hN8A,33.492722,-112.073346,3.0,133,10
I4L_MJOZsnux3xCU2bLP8Q,33.4827511,-112.0734569,3.5,12,4
JN2qXIuDXnV2d8WnSqd28A,33.5095515,-112.0701304,3.5,54,8
KIbFaBrZDX7rrYJInkv5Kg,33.479778,-112.069072,3.5,22,6
-AAig9FG0s8gYE4f8GfowQ,33.5006213,-112.0743113,4.0,400,10
SfrBXbRdNB_gqPkIgJyKCg,33.463512,-112.064401,4.0,11,4
7Jmri1RCl9Ksmpi5EoIOZQ,33.484705,-112.07333,4.0,23,6
3xEB9FyFXolq1b_Qn_BFtg,33.4977417,-112.0739754,3.5,248,10
SkNUbFJiJtbZjY-S_S0u7g,33.5096052184218,-112.071961359533,3.5,75,9
VZYMInkjRJVHwXVFqeoMWg,33.486194,-112.073895,3.5,5,2
g4Eit1EeeEGhTVik6AWYsA,33.4945855,-112.0689504,1.5,20,5
cIwMq5KNq0ASQzoTP1dE9Q,33.5107343896285,-112.073318521973,4.0,18,5
OkXpdUozVS3vjSRtCoSIvw,33.5114334,-112.0685027,2.0,9,3
cjUmPLRT43wN9Z87A9BOpg,33.5095681227152,-112.073327446624,3.0,53,8
UWrB5H3G-hhiHMy3iKV2ew,33.5102286,-112.0741357,4.5,75,9
-3WVw1TNQbPBzaKCaQQ1AQ,33.4859173,-112.0690737,4.0,261,10
wTiQXYB9fE9rcSZDsZgbtQ,33.509666657083,-112.071740126281,3.5,67,8
L19_1cG2ALVjdBQ456h26A,33.4940659,-112.074398,3.0,26,6
zZmhEpiVpRfFQid87-pcOQ,33.510392,-112.0741307,3.5,20,5
WPSM_oTPceoSnwqQWfAsdg,33.4833078592673,-112.075009830603,3.5,30,6
5W0WLaM5gue42MQPpcB0lw,33.5127699,-112.0740123,3.0,5,2
yaTx8l9SrM0qR3Zcdnw5rw,33.491509,-112.075675,4.0,4,1
kUGgkYxXxHDhD6mtpQdUNQ,33.5093372,-112.0608177,3.5,6,2
DeAnVirgOxQnI36V1W158A,33.4803943,-112.0491027,4.0,106,9
ML1RJdeZ7bbfMrHvJ7m99A,33.5094801,-112.0601964,4.0,288,10
nrb_PRgJB-ZOVLD07fikJQ,33.530652,-112.064643,3.0,4,1
-S7aL8dVIiXjCdbTZVn8uA,33.513796,-112.0651937,3.0,18,5
FltN1Hnw4n7BORXJH1kaeg,33.5237171,-112.0479298,4.0,8,3
AkOruz5CrCxUmXe1p_WoRg,33.5098142,-112.0610062,4.0,553,10
kIvIqHvvFOc6aCutFYIvNg,33.523756,-112.049638,2.5,11,4
3CSaqRNvYg7ZdN2zwxwzVw,33.529845,-112.064704,4.0,69,8
FW2Z4ll4zSOEDAJX9-wBZA,33.528137,-112.064673,4.0,27,6
XcwbN5fDlyl8qCttcdDGKA,33.51042,-112.065343,3.5,16,5
HrD4U4wvzkmpHranLW7W6g,33.4954589,-112.064613,3.5,4,1
VlG9qxAc4d0em2djaU__xw,33.5290164,-112.0648679,3.0,43,7
naUFPFYH2CqHtTrV3IAJrQ,33.5167259,-112.0648001,2.5,18,5
W8WyVVxinyRjzP8gJa7ILg,33.5093372,-112.0608177,3.0,23,6
PxeX1M8WtyPxX1MuuGIh-g,33.5184314,-112.0641262,3.5,155,10
auorqdHiATGZHVd-sd79ZQ,33.5124076744064,-112.065353393555,4.0,167,10
MEraJIKYztC7IOzYwMe86g,33.510317,-112.080548,3.5,16,5
3ZVG1MSRuvheqZ4gOioQVw,33.4942179,-112.059748,3.0,5,2
FKHv7FkblONv9qqBndJUrg,33.5095496,-112.0652288,3.0,43,7
od49_DFUJY9louGx80My-A,33.4947362,-112.0605131,2.5,29,6
Ql2cV2A9alEOlFySzEGNVw,33.5080044,-112.0653397,3.5,6,2
t30Ua_mSiClnpBqud84ygw,33.508282,-112.048136,3.0,3,1
lHKS896yFkmAuWyFnbNP3A,33.5076398,-112.0650347,4.5,18,5
rrPRCU1m22v02k60YvJNrg,33.4803248,-112.0283782,2.5,5,2
LzpR_jE6VIutJ08s2cdRrw,33.504777,-112.047846,4.0,207,10
0K35eGvzVRZEirNo5v_WfA,33.5113051,-112.0471421,3.5,73,8
BT2Vls7h6sWrCKa5gGXbKg,33.4807981,-112.0208269,3.0,54,8
UlShIstbG4Yfh0MpTAEciA,33.4949031,-112.0302027,3.5,3,1
t54zAs7IftAVb9SKcCRotw,33.479605,-112.016481,4.0,34,7
HNusESyB6lEgrf5IUwUr_g,33.5092104,-112.0462319,3.5,9,3
XzR49vhfm5ugcPJ3x_c2KQ,33.525861,-112.048124,3.0,10,4
18TUn9oiW0k0yB6lheiOvw,33.523984,-112.04698,4.0,289,10
ntJAKLAq0cXzzdFgPoo0Iw,33.5078595,-112.0475385,4.0,100,9
OT0gFIAr_c-d3i-IQ6TZQg,33.50876,-112.046798,4.0,18,5
c0RSs2KYK5Y-ZlSrNq9LyA,33.5369963,-112.0474809,3.5,227,10
Tk2dSL0TwQeI_zNJmb442A,33.4949943,-112.0473119,3.5,119,9
GpK9MeUjEd7rwhejG2ykww,33.513505,-112.0479841,3.5,130,10
74NT13vpDleoNrkxQdEpsQ,33.5087649,-112.04624,3.0,16,5
KLaxBc83JnxyGf7GP7enYA,33.5098669,-112.0394971,3.5,51,8
X8dNaEFH7LWDt1ORmkfDTg,33.507549,-112.047066,3.0,9,3
KNIw6kwf8LZkrS1lEnaLiw,33.508756,-112.045816,3.0,27,6
gQjTs4BDNYSu9oJhkEsssw,33.508732,-112.043847,3.5,59,8
ib-y5nsfn3unE0lLY1vfAw,33.509702,-112.042514,3.5,146,10
Pfb6VOIiroqDWOebfgWGPQ,33.52265,-112.0475118,4.0,214,10
HIiVx2mseVWKtx8TKfWC_A,33.5092185,-112.0467405,4.0,160,10
jSEcE8AY-mzGq9EOiyrtng,33.5318417,-112.0479816,4.5,39,7
SOHp2b8quJEitFeuO58Syw,33.509927,-112.044949,3.5,35,7
LYyGQgL60VKdV-p_9OxmWQ,33.5026383,-112.0470936,3.5,126,9
RoErsFPM0A-1SCqD-FRV_Q,33.507557,-112.040116,1.0,4,1
T5HYqRADhAL6VPRAacz74Q,33.525861,-112.048124,4.5,65,8
AyPmMe8GW6J26NvT_oI88Q,33.5305474,-112.0472047,3.0,3,1
GGhyhajTNKm5yTxtAoaxIw,33.507557,-112.040116,3.5,5,2
BJLoCsSp2TkHeTv00fJTVQ,33.5228486,-112.047511,3.5,6,2
CqhsIZ7TzCfJTrZqg5-gqQ,33.5093736,-112.0409502,4.0,171,10
5kRug3bEienrpovtPRVVwg,33.530335,-112.047101,4.0,403,10
TqHTtjPANCBKGsjGBjDoQQ,33.507455,-112.040131,4.0,137,10
VpW40mznMS43CqdbelX2wA,33.4962555,-112.0205287,3.5,221,10
PAtgWCLCFRQd_fjnihISOg,33.5305094,-112.0154818,4.0,57,8
JxgoluY8hnC34cys_f80xA,33.5093706,-112.0273984,2.0,21,5
WzhHlaEyaHE4KIFfcqC_9g,33.4948208,-112.0163009,3.0,24,6
MU3i2uEyUBntebU6pEyMbw,33.5093593,-112.0261747,4.0,43,7
rJ7HH85lo0wTNr5BiYGQ4Q,33.5160662,-112.029562,3.5,25,6
bxpzP73A7gauvxFEyd_8xA,33.487776517868,-112.030136659741,3.5,20,5
ET9VpUk1UgjMN5DJRV0yOw,33.5096014,-112.0253849,3.5,10,4
ut-kla-EA23nJOij_dcL0Q,33.5094212,-112.0301061,3.5,63,8
bewtZL-VV1oeGUdAhHVz6Q,33.511132,-112.02476,4.0,24,6
-yPdEze6bYRV2Sm1t4XJhg,33.5056919,-112.040429,4.0,3,1
fmuj7u1gflmEjW-h0v9bwg,33.507557,-112.040116,4.0,121,9
2r8jGeuYvMkyP2ik_X-Bxw,33.510008446765696,-112.02965196619101,3.5,163,10
MUsqPXthMdHoPEow9M3MfA,33.510311,-112.01556,3.0,7,3
kjZJsF1juY_pTOw_A8Ve6w,33.5092616,-112.0376214,3.0,30,6
C37jakxE5TX6ccAfjp2kJA,33.5093706,-112.0273984,3.5,5,2
wftoNIA0Q8nX-Da47psBCA,33.4977936,-111.9254014,3.5,93,9
Ta-fY1c_E8qHBBDQGyxPkg,33.508711,-112.02943,4.0,32,6
QdbZyl-LWFS54u93Vjd5SA,33.5104258,-112.0284918,4.0,190,10
o3TruOSgOwNgx08QosuWTw,33.4804658,-112.0218376,3.5,16,5
Rg3INE2p4zQYvfMvJduEOQ,33.5062577,-112.0388617,4.0,132,10
imvNxppzxkLUPH64pQsDQg,33.5160662,-112.029562,4.5,49,7
syxUZu1GrJv0LYnV38hMug,33.488164,-112.030538,3.5,6,2
3m7khDnqH9QOg8gu3Ymumw,33.5080057,-112.0319425,3.0,7,3
Uov4o_7gRqQKQyjVhWOpVA,33.5095797,-112.0258966,3.5,25,6
NDKkce5Au-o_OhIt5f2ZBg,33.5100455,-112.01408,3.0,109,9
K9fIADfO_zKFPFm75A1Hxw,33.494876,-112.028973,2.5,10,4
UxMnY3Dxafucv5cXHyfBSA,33.4949655,-112.0310218,3.5,31,6
24qSrF_XOrvaHDBy-gLIQg,33.5092757,-112.036358,4.0,151,10
YSQnaRE4Le6CaonZICFyVQ,33.5092864,-112.0370322,2.0,3,1
yLfYR-PvIzAv9DnEH68Rgw,33.5096147,-112.0252066,2.5,13,4
U2hhSRVHfBryKPNTgasprA,33.5059283,-112.0388474,4.0,5,2
yPfvOB63thP5t3pGZPJExA,33.523043,-112.026658,3.5,132,10
u0zjW7rluJgUeQTnaZnkJQ,33.480776,-112.013252,2.0,5,2
CkQKNhlm8DOzxbXm_zb3bg,33.5094453,-112.0290689,4.5,3,1
lgWe8lSmcBk4Pq0kVI9-0A,33.495245,-112.02898,2.0,6,2
rVUEZpHQfWI_3kt0lBwaxQ,33.5100215,-112.0153526,3.5,75,9
oEjdNvlluW5_Ng9kewJFBg,33.510026,-112.024174,3.0,9,3
Vu8od1U-h5qqwj3Jf_Hnzg,33.5092848,-112.0371249,3.5,15,5
_BhzcKojv1gjdRINe3Gkig,33.5093706,-112.0273984,4.0,27,6
vvA3fbps4F9nGlAEYKk_sA,33.4804921,-112.0221966,4.0,91,9
4rySWsfL5enT7t4XuVNJuQ,33.4802944,-112.0318284,3.5,80,9
OypZxwm-jS9QfUwgBmzeyw,33.5097281,-112.0255251,3.0,20,5
NVqLUZ7Vb9B_0RJm_BS64g,33.487276,-112.030849,3.5,28,6
C6oCdg9wVaS81Re0WfBJzw,33.4872299,-112.0305386,4.0,12,4
PuHucejs4LG3hSXnrwi9-g,33.487817,-112.031296,4.0,43,7
3DMvGD8ZmlMQmhwV66hdSA,33.495342,-112.022972,4.0,63,8
VWcaFOSFcDwmFquycBzFyQ,33.4952249,-112.0132474,3.0,26,6
69t2S1u7Rf6qM_c14b42xQ,33.4953008,-112.0207982,3.5,49,7
iDoigI3605ixHl_qHly3Tg,33.5092174261808,-112.03438796103,4.0,66,8
zMa6YoEekpABg1HZnnTZdg,33.510034,-112.0241743,4.0,338,10
gxuVySgACHDqJlwmelFHLA,33.488839,-111.959883,4.5,9,3
cvb__rYMkj4BMhC3p_FB3Q,33.479852,-111.994039,4.0,15,5
VpSiOW1PapVmZyyRBK_GBQ,33.5100523,-111.9963126,4.0,102,9
Upru5VE0jZ81ZQVVNCK_uA,33.4804795,-112.0096143,3.5,6,2
oc0Wl6ktfMLb5VZ2Uz6M2A,33.509973809123,-111.996602341533,4.5,100,9
_ODHYjCmrb3W9hIGJI1uaA,33.4949196,-112.0113575,3.5,123,9
CvJNcUtmNubDF8UmuduNXg,33.4804114,-111.9969164,2.5,12,4
y-uHaMLLWQydSyWJawLIUw,33.479889,-111.997771,3.5,59,8
nLpV9fo8xml-QHOKyOje2A,33.47987,-111.9978239,2.5,13,4
JobP0ghILdh8S8l-LhHHxQ,33.4797323,-111.9958677,3.0,29,6
GSsq_y2PfYBzn51gAG_c7Q,33.609693,-111.9269577,4.0,36,7
9Dj2we91vaYDVhfq6t-Luw,33.479698,-111.982927,3.0,4,1
edjCywtqffQ8__vM7POZbw,33.495496,-111.988131,4.0,46,7
hLAWdi804nVfTLF7T0rB1Q,33.493831,-112.01265,4.0,23,6
K2_Hmmo5crTYWiT_1sWnfQ,33.479793548584,-111.985984802246,3.5,76,9
ejfy33R1avFm7oygL34uQg,33.480662,-111.984111,4.5,29,6
T-FM14EE1tt-94eONQEaVA,33.480782,-111.993301,2.5,3,1
j0Uc-GuOe-x9_N_IK1KPpA,33.4955624,-112.000651,4.0,41,7
fVgrpVyp-nPLTac9YIjTug,33.504688,-111.969094,4.0,206,10
5Js9G0axfWhbYlB9UgXLww,33.494436,-111.986521,3.0,46,7
N-gqIeVDebI3qgwxf1jMcw,33.495665,-112.012269,3.5,8,3
2dJ_UPPCpcjo5JeYPnjaYw,33.4799104,-111.9854773,3.0,16,5
2gMx4KnXbNtpoCuVCmyo3g,33.4797129,-111.981506,2.0,11,4
S8R5c7-plWe3NtmijYAJvg,33.494594,-111.9893448,3.5,62,8
SDwYQ6eSu1htn8vHWv128g,33.5021111,-111.9963386,4.5,995,10
7UTlEVHU5v2xBLdkGghyzQ,33.4953259,-112.0119403,3.5,21,5
5WQhLNpG6xZryVCla4gMRA,33.479131,-111.984771,2.5,35,7
yJr24Yy1K6bt2G9fX3_zPA,33.5092093,-111.9885861,3.5,188,10
wdEnI9WTLHiqSCH1RdJ40w,33.480391,-111.978627,3.0,20,5
qz4ZOcv-840UjfCEYI4qZg,33.494204,-111.976613,4.0,70,8
FRDZ59oRvUSs4gf-itOCBg,33.5091326,-111.9875851,3.5,3,1
m9Wqqma30o-hH2fAX7dnug,33.4951447,-112.0118398,4.0,116,9
7SoGPn8dvce7A1aHdBOGLA,33.480845,-112.011292,4.5,17,5
To5CjntVFawXM_hpAhvVdQ,33.5106961,-111.9865579,4.0,91,9
UxvOXcoCRFRAVhRB0D9imw,33.5108208,-111.9862703,3.5,75,9
sMD2HPNh7m0hgCxHDzGTzQ,33.4805041,-112.0115928,2.5,16,5
TBTaMIaeDw5B79hXDZBtrA,33.4806911,-111.9926934,3.5,19,5
MPziC5MO2QQiYVAMM3fdSw,33.4949597,-111.98959,4.0,57,8
iNvY0zAlaD_ye7Z6rHu-Ug,33.495084,-111.999963,4.0,217,10
wct7rZKyZqZftzmAU-vhWQ,33.4951558,-112.0010198,3.5,148,10
uevPN8zwJpBpnxRur1jUhw,33.4805451,-112.0006832,4.0,66,8
lwgBIboXZ4j9uuZthAvTEw,33.479852,-111.994039,3.5,8,3
9Vu9KhK2-kBSM-FXvxXGNg,33.4954826,-111.9883722,3.5,73,8
jHte0SjUldZeDDZ5py0ZhA,33.48073,-112.003749,2.5,10,4
O02yhnk20alGOBw0HcmHGw,33.479938,-111.98828,3.0,3,1
H8QFth3DVsYbkJ2M7bTvmg,33.4800263,-111.9619215,3.0,4,1
i8X14GDzaYD_TOGeWjmv-A,33.4805459,-111.9984903,4.5,4,1
BicQSnGZnY_yuGEDkhVfnA,33.494646,-111.9947,3.5,47,7
QplY4p8HHJY0ncbgcpb8WQ,33.4807241,-112.0128995,2.0,11,4
ZN9aiuiCPAXWHmV_hB3KXw,33.5607929,-112.06494,4.0,5,2
MLVKDbuI2xaOJQ4-NZj2MQ,33.498914,-111.928574,4.0,155,10
hqVbmZNLTdR2y7G7oJu9vg,33.546583,-112.0469306,4.5,100,9
ytcm2DXuJWKPTqCtr6uJ4A,33.563433,-112.065592,4.0,53,8
C4_VnxikagdjSbNQiblzYw,33.550167,-112.048885,3.0,7,3
wLZ--5d4lXImxrG7VhdTyA,33.538927,-112.048079,3.5,11,4
GvwDppcJLm9lso9iS2hSIw,33.5382443,-112.057106,3.5,76,9
3rJE7qliy8_ylKhY5FdlIw,33.546608,-112.047023,4.0,10,4
dUJMmr6TFrHmiokijXiyUg,33.537947,-112.064128,4.0,3,1
ieYiA4L5gk7S3kZYK0l_dg,33.5524520874023,-112.057182312012,3.5,110,9
YldXB1hRpnE1CWLF3mvgpQ,33.5378713137466,-112.055160999298,4.0,172,10
G9LwkTSdKOyOGqd5BbuIkA,33.545329,-112.043169,3.5,277,10
Y_dzA9OHRKa0X1cqcRmsaw,33.5382428,-112.0474793,4.0,14,4
4eFIVmbeCvJGCrhzmd-VYA,33.5675286,-112.0731019,4.0,64,8
PxqufEwqzIHAbQGRdZ3bUw,33.5389948,-112.0640088,3.0,23,6
rwT9wCyXNATA36yqcb4JSg,33.583061,-112.051734,4.0,21,5
EUXT1vSFWaiD_BFmFK8rBg,33.582578,-112.051894,4.0,13,4
Y3a3RkR97J_ReiKgiMXeJg,33.601202,-112.062583,3.0,53,8
3Zsjlum5kl5N5KV712aTMQ,33.59547,-112.064668,4.0,221,10
PxUQyOAdK8c3P_WnrXuCUg,33.5661398,-112.0565478,4.0,17,5
-SS0C3OoPhVVBFCFfDWB2A,33.5752965,-112.065316,3.5,4,1
flUKBy7WHqYdfOrwU1A2SA,33.5599538,-112.0653058,4.0,95,9
hIe65VALe8rxseYECVj08w,33.5501972,-112.0565593,3.5,26,6
unPzS1QJJctlZyLGFSk_HA,33.5681919,-112.065773,3.5,18,5
F-ykHfGY9lWr12OJ_Ofy7A,33.546608,-112.047023,3.0,64,8
F3SEkW6v2LJ5y6Ldo5pPaw,33.5532624,-112.0554926,4.0,72,8
0nyaKW_6QHSJ74OVnDmyhA,33.5643063,-112.0650912,3.0,4,1
kxDGexkbP30fBvxVI0CzFQ,33.5528379672612,-112.053525918855,4.0,114,9
faitVIiNezSN0ogZQSZPWQ,33.5478352,-112.0474454,3.0,8,3
PkBqPU83bf1zArumGVHqcw,33.546608,-112.047023,3.5,20,5
aozcOaCMwOHG8s-lbZ6_gA,33.6412574,-112.0669362,3.5,108,9
cTyBfWfmgL3vgRetyfmtyA,33.641478,-112.0475,2.5,10,4
jw-etWMob2A07geTAVkgEw,33.6085361,-112.0362398,4.0,4,1
adEJYiysRmK8eDqnHP9N6A,33.640102,-112.031334,3.0,5,2
Y9V4EebKsaBmvKPlxXVheA,33.5969577,-112.037862,1.5,3,1
nW_1gn19lMnS9IF1KlZ-aA,33.607105,-112.063427,2.5,3,1
beSNHSvR9kjE_5vXJ_tlfw,33.6378764,-112.0638336,2.5,8,3
_IE5XDjxeM47NSzhg7sItg,33.639472,-112.071469,3.5,15,5
En2GuQV7FoOGHhXX5SMEBg,33.6376961,-112.0653886,2.5,10,4
V3lQtk1LgwAEcF9j-BzchA,33.640437,-112.0677697,4.5,98,9
vA9aCw2kTgN8p2SLdm2mDA,33.6403046,-112.0477215,2.0,25,6
rGHktXbee4CErLsMrPqbrA,33.6391488,-112.0656186,3.5,19,5
kF8JDYpLnbf8AZS9gpHXJg,33.6416167,-112.0670265,3.0,36,7
zTfBa__ldlTdbVgSl5h31Q,33.6077550798655,-112.067051231861,3.5,70,8
3msnZ6oe0sslHsE1js1QUA,33.6410022872606,-112.06808832906299,3.5,10,4
JqAI4UA2xXPYxvlhzG-i9A,33.6402031,-112.0647491,3.0,15,5
2J1DtN7FjGICQcgRei3jKA,33.6395011,-112.0717684,4.0,15,5
_BU867oRCLZnDIRmg7S6Wg,33.6400345,-112.0670223,3.0,44,7
kvxrjOmicwb2njvXOJsZRw,33.6094380925246,-112.06668779254,3.5,21,5
zwJX3eetOhpi-gv4-E4rcQ,33.6543385,-112.0667308,2.5,8,3
pTBS-RD0_DZwu-Scp0bWwQ,33.6407,-112.070232,3.5,11,4
pNJhovUsGAZ4XqG3lCU-5g,33.639176,-112.0656185,3.5,19,5
